lr;gamma;hidden_layers
0.001991743536437494;0.99;(255, 255, 255)
Episodes;Steps;Reward;Success;Memory_MB
3;600;0.26605303048756224;0.0;60.520404
5;1000;0.3695883016010639;0.0;61.247945
